proteins	coph	avg_shufcophs	coph_enrichment	t_coph	p_coph	SNR	avg_shufSNRs	SNR_enrichment	t_snr	p_snr
['SMC3', 'STAG1', 'RAD21', 'CTCF']	22.719023638404938	1549.1733716299873	0.014665255712793951	46.59767796087961	1.8573339699496772e-69	9.440992275506376	1.008319206060258	9.363098727827044	-336.45040826697686	1.5927449057460696e-153
['RAD21', 'STAG1', 'SMC3', 'CTCF']	22.719023638404938	1549.1733716299873	0.014665255712793951	46.59767796087961	1.8573339699496772e-69	9.440992275506375	1.008319206060258	9.363098727827042	-336.45040826697686	1.5927449057460696e-153
['FOXA3', 'FOXA1']	176.20426243328885	1318.8061722721513	0.13360891550098614	14.748872703720602	4.954101520822973e-27	9.366210351280008	1.0877339424613242	8.610754878243617	-151.85722250253735	2.1510357264280347e-119
['NFYC', 'NFYA', 'NFYB']	63.28283336130058	1639.2269011862313	0.03860529211392625	41.92848780060143	3.903242301435223e-65	9.348028276986819	0.9714207563645922	9.62304770177088	-283.3607334238908	3.785151948642878e-146
['CEBPG', 'ATF4']	1480.74357586132	1560.878137072282	0.9486605909150158	1.0412474304440194	0.1501484518006507	8.25464674749684	1.0742180405133115	7.684330774739536	-103.19604880532788	6.860238348913581e-103
['JUN', 'JUND', 'JUNB']	211.89841892727318	1434.5929681829116	0.14770629971487215	22.83384450723569	1.5351883757969224e-41	8.017799964464416	1.0031565435823058	7.992571065561296	-212.49148051846774	8.560717262610503e-134
['FOSL1', 'JUND', 'FOSL2', 'ATF3', 'JUNB', 'JUN']	630.7058919446843	1480.9961180875405	0.4258659994052758	29.01082458018801	1.6803414909441294e-50	7.961326334398301	0.9921614811653139	8.024224368242518	-419.0221345048966	5.92216426742314e-163
['FOXP4', 'FOXP1']	201.6704718406649	1605.590702558388	0.1256051567309889	18.354510705319033	6.188231128463225e-34	7.775252970113552	0.9768074061189893	7.959862836222613	-139.63383452328597	8.395785594546226e-116
['NFE2', 'MAFG']	134.98368814167594	1538.759137840882	0.0877224283009484	17.78759209618218	6.756278253285855e-33	7.27824479308145	0.903790447548145	8.053022481955075	-166.39851431675433	2.6072048734715477e-123
['GMEB2', 'GMEB1']	269.8477196958323	1631.201145392257	0.16542884392773136	18.45557545763638	4.058285188263889e-34	6.717248770200063	0.867628212029737	7.742082008243685	-144.43600199992875	3.0012291732268575e-117
['GMEB1', 'GMEB2']	269.8477196958323	1631.201145392257	0.16542884392773136	18.45557545763638	4.058285188263889e-34	6.717248770200063	0.867628212029737	7.742082008243685	-144.43600199992875	3.0012291732268575e-117
['SOX5', 'TCF7', 'SOX6']	272.09600974634196	1460.517186879905	0.1863011350983272	22.869908203920446	1.3459088990454648e-41	6.681397115224628	1.0048010509677792	6.649472658084311	-175.8768799311473	1.1021949410392183e-125
['FOXA1', 'EP300', 'FOXA3']	267.4978021504714	1427.7953182110425	0.1873502446314455	24.700167648479518	2.0320189955750745e-44	6.224771538699905	1.0319435880191579	6.032085097450446	-200.89898012215727	2.182715143194052e-131
['PAXIP1', 'KDM6A']	618.7261800680805	1654.7617178941387	0.3739065107545972	13.835285231309319	3.5876598502614603e-25	5.803752411656461	1.0448976334523001	5.5543741567115	-86.60416129778396	1.95204767377268e-95
['FOSL2', 'FOSL1', 'JUND', 'ATF7', 'JUNB', 'JUN']	1240.4843320106286	1479.3380151679728	0.8385401573485399	9.512146397826797	6.344002191105566e-16	5.7195047263238505	0.9910600438043804	5.771098090453125	-277.0829270313753	3.4685054783200954e-145
['STAG1', 'BRCA1', 'RAD21', 'SMC3']	1156.9101274722389	1543.6098277589842	0.7494835201663903	11.74544935267122	9.0023158306555e-21	5.4560743349019445	1.0163975044065374	5.368051683762921	-185.13339693844637	6.975162169089034e-128
['NFYB', 'EP300', 'NFYA', 'NFYC']	772.0132046113104	1572.4192107529225	0.49097161833939107	24.73664298577112	1.7916034091094141e-44	4.722352958829093	0.9771110731890551	4.83297455980769	-145.74946536937225	1.229938288710306e-117
['ATF7', 'JUN', 'FOSL2', 'JUND', 'JUNB']	1423.5628938975242	1476.158502552808	0.9643699449860383	1.5966942986709667	0.056760554655924694	4.60288039106557	0.9796367480923374	4.698558317691567	-210.32056468595107	2.3608177342517168e-133
['CTCF', 'EP300', 'RAD21', 'SMC3']	752.4798371697511	1506.5614345399094	0.4994684052824914	20.003144754504845	7.438597845320965e-37	4.421400532702296	1.0211028975970842	4.330024469724824	-124.98442227676905	4.599779359170078e-111
