File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF759YCY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BNI	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										FOXA2-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF285GKD/, /files/ENCFF459YUC/, /files/ENCFF329ZAR/, /files/ENCFF993LBR/, /files/ENCFF356LFX/	825632	ENCODE Processing Pipeline	58b0d0162d0dd37b67d3ffda0ce6ae75		https://www.encodeproject.org/files/ENCFF759YCY/@@download/ENCFF759YCY.bed.gz				released	s3://encode-public/2020/12/26/64d9e757-2891-45ed-b3ff-a4e5caf05c71/ENCFF759YCY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/64d9e757-2891-45ed-b3ff-a4e5caf05c71/ENCFF759YCY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length	insufficient read depth, poor library complexity, insufficient replicate concordance, severe bottlenecking	
ENCFF712AVW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BGM	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										USF1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF279DUF/, /files/ENCFF875HPK/, /files/ENCFF789VLZ/, /files/ENCFF527WLW/	397487	ENCODE Processing Pipeline	eee0cc3fbc269da1d012825aa1e37c53		https://www.encodeproject.org/files/ENCFF712AVW/@@download/ENCFF712AVW.bed.gz				released	s3://encode-public/2020/12/26/2c7c3212-3979-4bbc-94c4-77284dd300ea/ENCFF712AVW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/2c7c3212-3979-4bbc-94c4-77284dd300ea/ENCFF712AVW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance, mild to moderate bottlenecking, low read length		
ENCFF712RNF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BRO	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										MYBL2-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF434VWY/, /files/ENCFF356LFX/, /files/ENCFF430MNY/, /files/ENCFF379RHD/, /files/ENCFF359FCS/, /files/ENCFF376TLM/	362313	ENCODE Processing Pipeline	3dd1b9bee5e723a4668964341d9db8ee		https://www.encodeproject.org/files/ENCFF712RNF/@@download/ENCFF712RNF.bed.gz				released	s3://encode-public/2020/12/26/174b7e00-8f72-437a-b8f1-d57040228e70/ENCFF712RNF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/174b7e00-8f72-437a-b8f1-d57040228e70/ENCFF712RNF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, borderline replicate concordance, low read length		
ENCFF005YUC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEC	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										MAFF-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF040CRL/, /files/ENCFF356LFX/, /files/ENCFF772ZHK/, /files/ENCFF907GTV/	844086	ENCODE Processing Pipeline	1dabd7d49375cac9a6ede73a579069da		https://www.encodeproject.org/files/ENCFF005YUC/@@download/ENCFF005YUC.bed.gz				released	s3://encode-public/2020/12/26/82b646be-5a54-456c-92e5-16f1471f2d09/ENCFF005YUC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/82b646be-5a54-456c-92e5-16f1471f2d09/ENCFF005YUC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF445RVR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDY	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BRCA1-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF772ZHK/, /files/ENCFF525ANM/, /files/ENCFF128CZT/, /files/ENCFF356LFX/	39822	ENCODE Processing Pipeline	9f07c405e9490ac51fb86e63627f37d0		https://www.encodeproject.org/files/ENCFF445RVR/@@download/ENCFF445RVR.bed.gz				released	s3://encode-public/2021/01/05/25a66773-fa48-42a9-afec-723e84a92c55/ENCFF445RVR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/05/25a66773-fa48-42a9-afec-723e84a92c55/ENCFF445RVR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF735PKA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLR	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										MYC-human	DNA						2011-03-17	ENCODE		see document		1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF062SCH/, /files/ENCFF356LFX/, /files/ENCFF315AUW/, /files/ENCFF439SHL/, /files/ENCFF987GJQ/	37017	ENCODE Processing Pipeline	fe15629040647d3890b5973ace17c33c		https://www.encodeproject.org/files/ENCFF735PKA/@@download/ENCFF735PKA.bed.gz				released	s3://encode-public/2020/12/26/3b9c298e-788e-4deb-a18e-bbc43d960e13/ENCFF735PKA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/3b9c298e-788e-4deb-a18e-bbc43d960e13/ENCFF735PKA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance	insufficient read depth, insufficient read length	
ENCFF249WHV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR697CNF	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1270'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/51276/'], '@type': ['Target', 'Item'], 'name': 'ZNF571-human', 'label': 'ZNF571', '@id': '/targets/ZNF571-human/', 'title': 'ZNF571 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '287fb001-7150-4bb8-ada0-28c82a8ea81c', 'status': 'released'}				ZNF571-human	DNA				formaldehyde		2022-08-31	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF814XWA/, /files/ENCFF356LFX/, /files/ENCFF144UAV/, /files/ENCFF948LTB/	101084	ENCODE Processing Pipeline	47896b1a002e9459e166efc467856687		https://www.encodeproject.org/files/ENCFF249WHV/@@download/ENCFF249WHV.bed.gz				released	s3://encode-public/2022/08/27/635be807-f642-4d49-b1a5-bb6fb2e6b9e5/ENCFF249WHV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/08/27/635be807-f642-4d49-b1a5-bb6fb2e6b9e5/ENCFF249WHV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents	insufficient read depth	
ENCFF869BHB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR407MQT	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1715'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6299/'], '@type': ['Target', 'Item'], 'name': 'SALL1-human', 'label': 'SALL1', '@id': '/targets/SALL1-human/', 'title': 'SALL1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'c53e0a51-9f7f-4858-bab1-b0d1faae5aab', 'status': 'released'}				SALL1-human	DNA				formaldehyde		2022-08-15	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF141JSQ/, /files/ENCFF356LFX/, /files/ENCFF818AYT/, /files/ENCFF481QPZ/	1043428	ENCODE Processing Pipeline	a7b8d5873cc350deab186f6d32e2eb63		https://www.encodeproject.org/files/ENCFF869BHB/@@download/ENCFF869BHB.bed.gz				released	s3://encode-public/2022/07/23/d7218ea0-76bf-4f87-8b7b-9e43b9829be6/ENCFF869BHB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/d7218ea0-76bf-4f87-8b7b-9e43b9829be6/ENCFF869BHB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents		
ENCFF773HRY	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR151WAM	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55796/'], '@type': ['Target', 'Item'], 'name': 'MBNL3-human', 'label': 'MBNL3', '@id': '/targets/MBNL3-human/', 'title': 'MBNL3 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '78a1fcde-8ae9-4a52-8d2f-319fc75368c5', 'status': 'released'}				MBNL3-human	DNA						2022-05-18	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF402VUU/, /files/ENCFF356LFX/, /files/ENCFF962TFV/, /files/ENCFF782DDA/	10140	ENCODE Processing Pipeline	d79c70ec0632dc8e5cdada66bb7607b5		https://www.encodeproject.org/files/ENCFF773HRY/@@download/ENCFF773HRY.bed.gz				released	s3://encode-public/2022/05/12/5dd7fca5-c7a9-4841-8dfb-0763b657b171/ENCFF773HRY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/05/12/5dd7fca5-c7a9-4841-8dfb-0763b657b171/ENCFF773HRY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms		
ENCFF642BLI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR015LYB	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/23119/'], '@type': ['Target', 'Item'], 'name': 'HIC2-human', 'label': 'HIC2', '@id': '/targets/HIC2-human/', 'title': 'HIC2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '9544d103-d64b-45e2-9bf7-455bcaef2180', 'status': 'released'}				HIC2-human	DNA				formaldehyde		2022-03-28	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF814XWA/, /files/ENCFF741MBT/, /files/ENCFF356LFX/, /files/ENCFF678WPD/	306365	ENCODE Processing Pipeline	2b0650843d3cd00a637c2b2def51f116		https://www.encodeproject.org/files/ENCFF642BLI/@@download/ENCFF642BLI.bed.gz				released	s3://encode-public/2022/02/07/35588ed5-a2b6-445b-a180-484719d59eb9/ENCFF642BLI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/07/35588ed5-a2b6-445b-a180-484719d59eb9/ENCFF642BLI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.0 GRCh38	released	low read depth, missing genetic modification reagents		
