File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF637QOV	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AMP	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K4me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF203YRQ/, /files/ENCFF245IFK/, /files/ENCFF856IEI/, /files/ENCFF539MTH/, /files/ENCFF356LFX/, /files/ENCFF769SZI/	1277555	ENCODE Processing Pipeline	e4b16da64edb3f8f6166e904326a4cfa		https://www.encodeproject.org/files/ENCFF637QOV/@@download/ENCFF637QOV.bed.gz				released	s3://encode-public/2020/09/30/5ba1ad53-e046-43f1-b48d-be7532c736bc/ENCFF637QOV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/5ba1ad53-e046-43f1-b48d-be7532c736bc/ENCFF637QOV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, inconsistent platforms	insufficient read depth	
ENCFF924TKB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000DUD	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-11	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF998MMI/, /files/ENCFF026TWO/, /files/ENCFF356LFX/, /files/ENCFF536KSL/	2579492	ENCODE Processing Pipeline	4f1e57323a21c70cecf233c622e824d1		https://www.encodeproject.org/files/ENCFF924TKB/@@download/ENCFF924TKB.bed.gz				released	s3://encode-public/2020/10/28/42cde6e9-70a0-4e32-8025-617a3f95eb54/ENCFF924TKB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/28/42cde6e9-70a0-4e32-8025-617a3f95eb54/ENCFF924TKB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	control insufficient read depth, insufficient read depth	
ENCFF811ZMQ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AMQ	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H4K20me1-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF245IFK/, /files/ENCFF794BQI/, /files/ENCFF856IEI/, /files/ENCFF042DLI/, /files/ENCFF539MTH/, /files/ENCFF356LFX/	815305	ENCODE Processing Pipeline	d3d829f5f1c6cb4dc107a09d9cc46285		https://www.encodeproject.org/files/ENCFF811ZMQ/@@download/ENCFF811ZMQ.bed.gz				released	s3://encode-public/2020/11/01/a020ce91-dd0d-4c83-b0a2-5883f78be39c/ENCFF811ZMQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/a020ce91-dd0d-4c83-b0a2-5883f78be39c/ENCFF811ZMQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	insufficient read depth	
ENCFF500KVU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AOM	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K79me2-human	DNA						2011-02-10	ENCODE		see document		1	1_1							/files/ENCFF356LFX/, /files/ENCFF856IEI/, /files/ENCFF539MTH/, /files/ENCFF074WLE/, /files/ENCFF245IFK/	2109420	ENCODE Processing Pipeline	cbd78c9e2c35b3026395a1024fe956c2		https://www.encodeproject.org/files/ENCFF500KVU/@@download/ENCFF500KVU.bed.gz				released	s3://encode-public/2020/11/25/99c00efd-f34a-413c-ae43-7aa6beea5231/ENCFF500KVU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/25/99c00efd-f34a-413c-ae43-7aa6beea5231/ENCFF500KVU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, inconsistent platforms	insufficient read depth	
ENCFF841QVP	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000DUE	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K27me3-human	DNA						2011-02-11	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF536KSL/, /files/ENCFF165IAP/, /files/ENCFF960BQU/, /files/ENCFF356LFX/	881593	ENCODE Processing Pipeline	67d60465885069cde6747074df01fe2e		https://www.encodeproject.org/files/ENCFF841QVP/@@download/ENCFF841QVP.bed.gz				released	s3://encode-public/2020/11/01/3af844c2-88d7-40a8-bace-0916954a1b24/ENCFF841QVP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/3af844c2-88d7-40a8-bace-0916954a1b24/ENCFF841QVP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	released	mild to moderate bottlenecking, low read length, moderate library complexity	control insufficient read depth, insufficient read depth	
ENCFF044QMC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AMD	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K9ac-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF855SBG/, /files/ENCFF312VEN/, /files/ENCFF539MTH/, /files/ENCFF356LFX/, /files/ENCFF856IEI/, /files/ENCFF245IFK/	1200319	ENCODE Processing Pipeline	46656d0ae9419356a35dcb5f10b8ea1c		https://www.encodeproject.org/files/ENCFF044QMC/@@download/ENCFF044QMC.bed.gz				released	s3://encode-public/2020/11/01/ca5da489-7d89-41ac-95ad-a4fc8c429ddb/ENCFF044QMC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/ca5da489-7d89-41ac-95ad-a4fc8c429ddb/ENCFF044QMC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	released	mild to moderate bottlenecking, low read length, inconsistent platforms, low read depth	insufficient read depth	
ENCFF982DUT	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR575RRX	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K4me3-human	DNA						2016-11-18	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF223UKR/, /files/ENCFF311DQC/, /files/ENCFF856IEI/, /files/ENCFF539MTH/, /files/ENCFF245IFK/, /files/ENCFF356LFX/	938928	ENCODE Processing Pipeline	57e4d7d5f873a63a248c60c300b1da27		https://www.encodeproject.org/files/ENCFF982DUT/@@download/ENCFF982DUT.bed.gz				released	s3://encode-public/2020/10/20/5f6e8643-dcf9-4376-a916-294db7b580d4/ENCFF982DUT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/5f6e8643-dcf9-4376-a916-294db7b580d4/ENCFF982DUT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mixed read lengths, mild to moderate bottlenecking, low read length, low read depth		
ENCFF946FQI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AMC	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K4me2-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF884OTY/, /files/ENCFF856IEI/, /files/ENCFF210WWS/, /files/ENCFF356LFX/, /files/ENCFF245IFK/, /files/ENCFF539MTH/	2343096	ENCODE Processing Pipeline	c53ea2385de28bc2d9debf1defdf430e		https://www.encodeproject.org/files/ENCFF946FQI/@@download/ENCFF946FQI.bed.gz				released	s3://encode-public/2020/11/01/7a7e56cb-5bb9-4550-a398-20c0b9e67b12/ENCFF946FQI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/7a7e56cb-5bb9-4550-a398-20c0b9e67b12/ENCFF946FQI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	released	low read length, inconsistent platforms, low read depth		
ENCFF413EGR	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000APV	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K4me1-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF539MTH/, /files/ENCFF356LFX/, /files/ENCFF176CMB/, /files/ENCFF678ZFC/, /files/ENCFF245IFK/, /files/ENCFF856IEI/	3504321	ENCODE Processing Pipeline	ceddc5c3830f5b3078365625b3de52b9		https://www.encodeproject.org/files/ENCFF413EGR/@@download/ENCFF413EGR.bed.gz				released	s3://encode-public/2020/10/30/09ed1d96-bbd8-468d-9a68-83e992be7fe5/ENCFF413EGR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/30/09ed1d96-bbd8-468d-9a68-83e992be7fe5/ENCFF413EGR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, inconsistent platforms	insufficient read depth	
ENCFF489ZNJ	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000AMB	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-10	ENCODE		see document	200-600	1, 2, 3	1_1, 2_1, 3_1, 3_2							/files/ENCFF245IFK/, /files/ENCFF856IEI/, /files/ENCFF129YEO/, /files/ENCFF211APO/, /files/ENCFF080RGC/, /files/ENCFF539MTH/, /files/ENCFF356LFX/	3166711	ENCODE Processing Pipeline	fcaf24060a41cd8f617588e0b28fbe48		https://www.encodeproject.org/files/ENCFF489ZNJ/@@download/ENCFF489ZNJ.bed.gz				released	s3://encode-public/2022/06/14/6986e845-9d14-461c-aa42-ba501d2020e5/ENCFF489ZNJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/14/6986e845-9d14-461c-aa42-ba501d2020e5/ENCFF489ZNJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	low read length, inconsistent platforms	insufficient read depth	
