protein,average_distance_to_tss
SIX4,118820.98036064989
ZNF221,53390.452836817145
HOXA10,64093.870016273395
PHB2,910265.7954545454
RAD51,327914.62876683054
ONECUT2,137455.46099426385
ZNF354B,40622.3149122807
FUBP1,36094.04502814259
SNAPC2,58825.353675450766
REST,166461.2725824243
NFRKB,121551.13309352518
ZFP62,18959.247232472324
CAMTA2,32816.37847469708
BATF2,43037.646242221155
BHLHE40,96305.97710947227
ZBTB10,55047.70776388485
NBN,496673.5531135531
CENPX,81824.11111111111
PRDM15,97181.68497887053
ATF6,63990.259325044404
BAZ2A,51719.487711213515
ZSCAN21,51644.79154237585
ZNF12,128670.27968447274
SRSF4,82077.37642276422
SIN3B,39816.866388308976
IRF3,34520.96444444444
ZNF501,54136.17264941691
KDM4B,67571.55442315532
KDM3A,60881.53507565337
ZNF572,41285.61505376344
NACC2,86443.09846827133
AHR,45525.665232358006
IRX3,44179.87783251231
RFXAP,54703.74497139694
ZNF564,72603.14244604316
NCOA2,119167.9806459721
NFYA,59317.17205290397
CBFB,65725.38346153845
RNF2,63289.927083333336
LCORL,101964.98431558935
H3K36me3,47195.192776940654
POLR2A,45020.76706646226
ZNF841,82946.95066562256
ZNF337,68367.1939477304
NFATC3,38132.534534534534
ZNF548,55982.94738628649
ZNF839,30735.704020530367
TEAD3,102538.54885019275
ZNF530,48336.884507042254
POLR2AphosphoS2,21706.88052754073
ZNF543,53904.38662190083
CREBL2,32049.137457044675
HCFC1,39476.81924519974
ZNF526,83444.6754187415
ZNF772,51021.555880330125
CBX2,133805.36847014926
E2F5,45446.792808828766
ZFYVE20,44485.51689860835
ZNF782,41632.578296703294
PREB,38904.663157894734
PRDM4,65354.95571095571
ATRX,56677.112676056335
DZIP1,35640.78914988814
MED13,68835.3606321839
CHCHD3,39249.46666666667
THAP11,71613.64136997123
MGA,76699.54158090895
CEBPZ,52129.94578313253
ZNF121,61128.53980528896
SMAD1,35346.1580775912
ZNF589,44131.37833468068
ARID5B,128351.66170926573
KLF9,38086.61586802828
H3K9ac,29942.999703176018
KLF11,58084.98932557011
ERF,66060.59314604502
HSF2,83479.2179992829
ISX,42823.454545454544
SAP130,69414.236063778
ZNF263,81023.6804224208
AKNA,45493.035539215685
ELF4,43982.1570926143
ZNF275,38779.899954524786
NR2F2,125195.59228684081
ZBTB37,83304.95616024187
ZNF430,53291.61961316593
HNRNPL,101727.09158538602
FOXK2,93054.92691765653
ZBTB44,75240.23215984776
FOXC1,45506.61316872428
ZBTB21,85973.21035447762
H3K27me3,179754.70765954614
ZNF672,41403.445929526126
ZFP36,133761.46518824136
MNX1,59194.41042444563
ZNF552,40215.10445615716
E2F2,36278.1499272198
KDM1A,97764.76575377528
ARID2,44282.057735011105
CBX5,80241.78217455621
ZNF775,68008.82310838446
PTBP1,101386.23849765258
THRB,92117.44298122723
DNMT1,42010.85535006605
DRAP1,51100.0767310253
THAP9,42329.186458028664
AGO2,91400.92152995456
RBM39,113414.72798943151
MIER3,80473.53698366955
ZNF710,88270.97087961574
TCF3,73687.48325722983
POLR2AphosphoS5,40278.54316522671
TEAD4,111509.42628522872
ZNF24,149415.81671197596
NRF1,92078.77718156228
ZNF382,99588.15730337078
JUND,235288.36020849846
YEATS2,49461.140165986035
PBX2,100022.01100671141
ZNF143,68563.98716139955
ZNF317,112828.18642887
ZNF891,43587.67227272727
ZNF598,44595.29648894668
MED8,52465.78764949963
THYN1,37510.32997481108
SSRP1,45384.687621516525
ZFP36L2,63111.07095343681
ELF3,91905.66269037002
RBFOX2,105395.16456021226
ZNF282,665635.9694323144
YBX1,335445.24884792627
ZNF264,85411.02552331987
TAF15,104340.6093537415
TMF1,40067.034412955465
ZBTB2,36679.99223034735
ZNF280D,70791.63899152358
HNRNPLL,128016.02391185434
MBD4,130297.58748778104
TBP,52265.35798533631
KLF16,66730.76533099347
CENPT,38087.94102564103
ZNF217,98350.28052084244
ZNF468,37410.48899755501
EED,39416.10678899082
MTF2,91446.38252656434
ZBTB7B,65318.070774726504
FOXJ3,125228.3237535924
TFAP4,88966.57776329778
TBX3,137260.1265752666
MTA1,54221.95443680908
ZBTB26,81833.81225722918
ZBTB43,83744.31991744066
HNRNPK,267018.84708573803
SMARCC2,160594.18464351006
LBX2,44762.363187588155
AKAP8,31660.262068965516
ZNF7,143523.828658404
SNAPC5,61575.70958302853
RORA,102437.31026785714
ZNF230,48080.82571239231
ELK4,26740.945147679326
FUS,97468.11647446458
RREB1,89287.77721249408
REPIN1,65815.57238434163
JDP2,50106.14705882353
GPN1,58020.27895981087
IKZF5,68232.29805241154
FOXA1,174953.26294626796
ZNF644,150127.90447175462
ATF1,75786.43783956536
CEBPG,121949.49727223131
ZNF485,43910.611405055846
ZNF652,124216.62595129375
FOXP1,154559.41172437437
GATA4,100291.72543940795
ZNF737,45652.80925507901
NCOA5,29256.795221843004
ZNF563,49957.68865131579
REXO4,38850.84126984127
ZNF510,43494.3240521327
ZSCAN30,38692.85204616999
TRIM22,589194.9084249084
ZFP1,93245.13030303031
NR5A1,116147.9931772659
DR1,36708.4456272177
BRF2,53225.62736030829
ZNF343,47886.7374955658
ZNF768,81685.28828828828
ETV6,48763.347286108554
ZNF850,59464.05046948357
NR3C1,43592.08780487805
ZNF326,26279.862637362636
NFAT5,49077.657638595
ARNT,816225.6857142857
HIC2,62996.492717694455
ZNF101,60727.13915857605
PPARG,102704.75988877926
HMG20A,144885.69951821485
GATAD2A,110837.58100626883
NFYC,75324.19736273238
IRF1,85328.44712182062
ZNF503,102792.71673888621
ZNF10,47239.663043478264
HHEX,166712.18917001656
ZNF580,56341.80830188679
ZNF879,36405.864457831325
ZMYM2,66943.24409328014
ZNF570,41159.46525096525
MAFF,435996.08114486263
PROX1,108952.78327122705
ZNF335,52359.499869960986
USF1,109927.35455124125
THAP7,38019.39535783366
ZNF350,52578.25693292249
ZNF780A,58428.26079243051
RELA,58289.57624113475
JUN,224424.8084035001
ZNF235,36072.36959064328
FUBP3,41468.93082244427
SP140L,75226.36497326203
ZKSCAN5,81756.45057610673
LRRFIP1,82675.10561056106
