ch	start	end	anchor_index
chr1	778666	778809	0
chr1	827499	827620	1
chr1	858350	858560	2
chr1	858720	858930	3
chr1	869887	870058	4
chr1	904720	904881	5
chr1	919801	919938	6
chr1	921185	921304	7
chr1	938256	938307	8
chr1	951427	951622	9
chr1	959236	959383	10
chr1	960590	960623	11
chr1	976151	976262	12
chr1	980790	980849	13
chr1	984250	984387	14
chr1	989380	989590	15
chr1	990510	990720	16
chr1	1006659	1006750	17
chr1	1015580	1015625	18
chr1	1017645	1017684	19
chr1	1019467	1019826	20
chr1	1058373	1058524	21
chr1	1058656	1058813	22
chr1	1059531	1059678	23
chr1	1063929	1063992	24
chr1	1115800	1115819	25
chr1	1122229	1122406	26
chr1	1123302	1123517	27
chr1	1125180	1125390	28
chr1	1164968	1165161	29
chr1	1174010	1174220	30
chr1	1185270	1185480	31
chr1	1207090	1207109	32
chr1	1230831	1230968	33
chr1	1233850	1234060	34
chr1	1250317	1250506	35
chr1	1273820	1274027	36
chr1	1274201	1274338	37
chr1	1279440	1279650	38
chr1	1281575	1281614	39
chr1	1281774	1281887	40
chr1	1287590	1287800	41
chr1	1290245	1290398	42
chr1	1291910	1292120	43
chr1	1307974	1308161	44
chr1	1349281	1349634	45
chr1	1349895	1349934	46
chr1	1358630	1358649	47
chr1	1359010	1359029	48
chr1	1360640	1360850	49
chr1	1362144	1362219	50
chr1	1372162	1372259	51
chr1	1375199	1375594	52
chr1	1383950	1384160	53
chr1	1399231	1399610	54
chr1	1400888	1401121	55
chr1	1417515	1417614	56
chr1	1421338	1421433	57
chr1	1433159	1433418	58
chr1	1435620	1435830	59
chr1	1438108	1438313	60
chr1	1469010	1469220	61
chr1	1471120	1471330	62
chr1	1512026	1512081	63
chr1	1551122	1551223	64
chr1	1574834	1574991	65
chr1	1579270	1579480	66
chr1	1587270	1587289	67
chr1	1588510	1588720	68
chr1	1597728	1597945	69
chr1	1615134	1615929	70
chr1	1620220	1620239	71
chr1	1645820	1646030	72
chr1	1651420	1651630	73
chr1	1651550	1651760	74
chr1	1658040	1658250	75
chr1	1659007	1659228	76
chr1	1678906	1679145	77
chr1	1686515	1686515	78
chr1	1696840	1697050	79
chr1	1716250	1716460	80
chr1	1718000	1718210	81
chr1	1724313	1724510	82
chr1	1746485	1746485	83
chr1	1748746	1748897	84
chr1	1759010	1759029	85
chr1	1768707	1768774	86
chr1	1777920	1778130	87
chr1	1778248	1778561	88
chr1	1778801	1779298	89
chr1	1789215	1789248	90
chr1	1796590	1796800	91
chr1	1816990	1817200	92
chr1	1832997	1833200	93
chr1	1834071	1834208	94
chr1	1855757	1855812	95
chr1	1881760	1881970	96
chr1	1899307	1899428	97
chr1	1906286	1906469	98
chr1	1909104	1909413	99
chr1	1919199	1919732	100
chr1	1923059	1923282	101
chr1	1935842	1935971	102
chr1	1941329	1941366	103
chr1	1942974	1943185	104
chr1	1944219	1944526	105
chr1	1960092	1960257	106
chr1	1974414	1974467	107
chr1	1986610	1986820	108
chr1	1986937	1987052	109
chr1	1987200	1987410	110
chr1	2003714	2003869	111
chr1	2046604	2046685	112
chr1	2049531	2049664	113
chr1	2072120	2072330	114
chr1	2091747	2091892	115
chr1	2104735	2104735	116
chr1	2104902	2105221	117
chr1	2108766	2108863	118
chr1	2132385	2132424	119
chr1	2134754	2134947	120
chr1	2135064	2135337	121
chr1	2138210	2138420	122
chr1	2140088	2140107	123
chr1	2163340	2163453	124
chr1	2174371	2174548	125
chr1	2190040	2190250	126
chr1	2195023	2195434	127
chr1	2207860	2208070	128
chr1	2208371	2208474	129
chr1	2231962	2232139	130
chr1	2232790	2233000	131
chr1	2234574	2234835	132
